slug,institution,short_name,sies_name,type,subtype,is_state,is_cruch,regions,campuses_with_medicina,campus_list,campus_cities,matricula_total_2026,matricula_primer_ano_2026,women_2026,men_2026,pct_women,institutional_accreditation,programme_accreditation,duration_semesters,new_programme_2026,metric_note,source,source_url,source_date,prog_accred_years,prog_accred_from,prog_accred_until,prog_accred_source
pontificia-universidad-catolica-de-chile,Pontificia Universidad Católica de Chile,UC,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Metropolitana,1,Santiago,1,745,102,400,345,53.7,ACREDITADA,ACREDITADA,12,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,7,21-08-2024,21-08-2031,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-finis-terrae,Universidad Finis Terrae,UFT,UNIVERSIDAD FINIS TERRAE,Universidades Privadas,Universidades Privadas,no,no,Metropolitana,1,Providencia,1,661,95,426,235,64.4,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,7,19-08-2026,19-08-2033,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-o-higgins,Universidad de O'Higgins,UOH,UNIVERSIDAD DE O'HIGGINS,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Lib. Gral. B. O'Higgins,1,Rancagua,1,629,86,377,252,59.9,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,4,03-09-2025,03-09-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-talca,Universidad de Talca,UTalca,UNIVERSIDAD DE TALCA,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Maule,1,Talca,1,620,82,384,236,61.9,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,20-03-2024,20-03-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-catolica-del-maule,Universidad Católica del Maule,UCM,UNIVERSIDAD CATOLICA DEL MAULE,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Maule,1,Talca,1,600,81,371,229,61.8,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,05-10-2022,05-10-2027,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-catolica-de-la-santisima-concepcion,Universidad Católica de la Santísima Concepción,UCSC,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Biobío,1,Concepción,1,591,99,346,245,58.5,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,4,13-08-2025,13-08-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-austral-de-chile,Universidad Austral de Chile,UACh,UNIVERSIDAD AUSTRAL DE CHILE,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Los Ríos,2,Valdivia,1,531,76,301,230,56.7,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,08-08-2024,08-08-2029,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-santiago-de-chile,Universidad de Santiago de Chile,USACH,UNIVERSIDAD DE SANTIAGO DE CHILE,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,Metropolitana,1,Estación Central,1,525,50,346,179,65.9,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,5,06-08-2025,06-08-2030,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-de-la-frontera,Universidad de La Frontera,UFRO,UNIVERSIDAD DE LA FRONTERA,Universidades CRUCH,Universidades Estatales CRUCH,yes,yes,La Araucanía,1,Temuco,1,507,69,288,219,56.8,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,6,05-01-2022,05-01-2028,https://www.cnachile.cl/Paginas/medicina.aspx
universidad-diego-portales,Universidad Diego Portales,UDP,UNIVERSIDAD DIEGO PORTALES,Universidades CRUCH,Universidades Privadas CRUCH,no,yes,Metropolitana,1,Santiago,1,476,71,281,195,59.0,ACREDITADA,ACREDITADA,14,no,matrícula total and matrícula de primer año are DIFFERENT metrics; both are 2026 values summed across this institution's campuses,SIES/MINEDUC Matrícula 2026,https://www.mifuturo.cl/wp-content/uploads/2026/07/Matricula_2026_WEB_10_07_2026.zip,2026-07-10,6,15-03-2023,15-03-2029,https://www.cnachile.cl/Paginas/medicina.aspx
